Datetime,Category,Case,AlgName,RecoTime,ExecTime
2025-08-15 18:08:08,PLL,Ub perm,RU,1.1593329906463623,0.15763187408447266
2025-08-15 18:08:09,PLL,Ua perm,RU,0.20127391815185547,0.04576826095581055
2025-08-15 18:08:09,PLL,Ub perm,RU,0.15279459953308105,0.17168521881103516
2025-08-15 18:16:46,PLL,Ua perm,RU,8.700000047683716,4.570206880569458
2025-08-15 18:22:24,PLL,Ub perm,RU,10.55,0.144
2025-08-15 18:22:25,PLL,Ua perm,RU,0.373,0.08
2025-08-15 18:22:25,PLL,Ua perm,MU,0.181,0.152
2025-08-15 18:22:26,PLL,Ua perm,RU,0.039,0.448
2025-08-15 18:22:26,PLL,Ua perm,MU,0.033,0.144
2025-08-15 18:22:29,PLL,Ub perm,RU,1.921,0.28
2025-08-15 18:22:30,PLL,Ub perm,RU,0.09,0.4
2025-08-15 18:22:45,PLL,Ub perm,RU,4.501,3.0
2025-08-15 18:23:45,PLL,Ua perm,RU,6.324,5.254
2025-08-15 18:27:48,PLL,Ua perm,RU,6.443,2.011
